iter	Passed	Remaining
698	24039	10351
699	24074	10317
700	24107	10282
701	24142	10248
702	24176	10214
703	24211	10179
704	24245	10145
705	24278	10110
706	24313	10076
707	24346	10041
708	24380	10006
709	24416	9972
710	24448	9937
711	24481	9902
712	24513	9867
713	24546	9832
714	24578	9797
715	24612	9762
716	24645	9727
717	24680	9693
718	24713	9658
719	24746	9623
720	24779	9588
721	24812	9553
722	24845	9519
723	24881	9485
724	24914	9450
725	24947	9415
726	24979	9380
727	25014	9346
728	25046	9310
729	25079	9275
730	25113	9241
731	25146	9206
732	25180	9172
733	25214	9137
734	25249	9103
735	25283	9069
736	25317	9034
737	25352	9000
738	25385	8965
739	25420	8931
740	25456	8897
741	25493	8864
742	25529	8830
743	25565	8796
744	25601	8762
745	25635	8728
746	25669	8694
747	25703	8659
748	25737	8624
749	25770	8590
750	25807	8556
751	25841	8522
752	25875	8487
753	25909	8453
754	25942	8418
755	25976	8383
756	26010	8349
757	26045	8315
758	26079	8280
759	26111	8245
760	26146	8211
761	26182	8177
762	26215	8142
763	26247	8107
764	26283	8074
765	26319	8040
766	26356	8006
767	26391	7972
768	26424	7937
769	26458	7903
770	26489	7867
771	26522	7833
772	26555	7798
773	26589	7763
774	26622	7729
775	26659	7695
776	26695	7661
777	26728	7627
778	26764	7593
779	26799	7558
780	26834	7524
781	26866	7489
782	26902	7455
783	26935	7421
784	26969	7386
785	27003	7351
786	27036	7317
787	27069	7282
788	27103	7248
789	27136	7213
790	27170	7179
791	27205	7144
792	27237	7109
793	27271	7075
794	27316	7043
795	27354	7010
796	27402	6979
797	27438	6945
798	27475	6911
799	27512	6878
800	27547	6843
801	27579	6808
802	27612	6774
803	27648	6740
804	27682	6705
805	27718	6671
806	27751	6636
807	27783	6602
808	27816	6567
809	27849	6532
810	27883	6498
811	27917	6463
812	27951	6429
813	27982	6394
814	28015	6359
815	28048	6324
816	28082	6290
817	28115	6255
818	28148	6220
819	28183	6186
820	28216	6151
821	28250	6117
822	28283	6082
823	28318	6048
824	28350	6013
825	28385	5979
826	28419	5945
827	28452	5910
828	28482	5875
829	28518	5841
